"Timestamp","How much have you currently spent?","How often do you play?","What are your spending habits?","When do you usually spend(orbs) on a banner? (just any given banner in general)","How fast do you complete quests","How do you go about getting orb rewards","Have you let pity rates over 4.25 die?","There's a new deal, you can buy a character you really want for a bulk sum of orbs, how many orbs are you willing to pay?"," Orb prices have decreased by 15% for a week, will you buy?","Your pity rate is 4.75 but this week orbs are 30% more expensive, will you buy?","Your pity rate is at 4.75 but the one time deals are $40 (USD) for 83 orbs or $36 for 75 orbs, what do you choose","Let's make a deal. You must spend $75 (USD) for 160 orb, but after you get a 5* any unused orbs from that $75 package disappear, do you buy?"
"2018/03/23 7:47:04 PM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","No","No"
"2018/03/23 7:48:35 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","35","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:49:48 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","140","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:51:19 PM EST","100 - 500","Scattered, no real patter or content based","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","60","Yes","No","No","No"
"2018/03/23 7:51:37 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No you will buy more orbs to break the pity rate","300","Yes","Yes","$40 (USD) for 83 orbs","No"
"2018/03/23 7:54:51 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","60","Yes","No","No","No"
"2018/03/23 7:55:35 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","20","No","No","No","No"
"2018/03/23 7:55:37 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time;Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Spent but was not able to break pity rate","100","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:55:39 PM EST","< 100","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","40","No","No","No","No"
"2018/03/23 7:55:58 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","Yes","No","$36 for 75 orbs","No"
"2018/03/23 7:56:59 PM EST","2000 <","Every day","Spend at the beginning of the month, or some periodic time;Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No you will buy more orbs to break the pity rate","100","Yes","No","$36 for 75 orbs","No"
"2018/03/23 7:57:56 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","25","No","No","No","No"
"2018/03/23 7:58:27 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","60","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:59:52 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","70","Yes","Yes","$40 (USD) for 83 orbs","No"
"2018/03/23 8:00:07 PM EST","100 - 500","Every other day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","Yes","No","$36 for 75 orbs","No"
"2018/03/23 8:02:33 PM EST","100 - 500","Scattered, no real patter or content based","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","100","Yes","No","$40 (USD) for 83 orbs","Yes"
"2018/03/23 8:03:37 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 8:05:14 PM EST","< 100","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","Yes","No","No","No"
"2018/03/23 8:06:26 PM EST","2000 <","Every day","Spend at the beginning of the month, or some periodic time","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","80","Yes","No","$36 for 75 orbs","No"
"2018/03/23 8:07:35 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","50","No","No","$36 for 75 orbs","No"
"2018/03/23 8:08:49 PM EST","< 100","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","5","No","No","No","No"
"2018/03/23 8:10:19 PM EST","100 - 500","Every other day","Impulsively during some banner you are trying for","Somewhere in the middle of a banner's lifetime","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No you will buy more orbs to break the pity rate","","Yes","Yes","$40 (USD) for 83 orbs","No"
"2018/03/23 8:11:40 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Spent but was not able to break pity rate","100","No","No","No","No"
"2018/03/23 8:14:19 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","75","Yes","No","No","No"
"2018/03/23 8:14:23 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","300","No","No","No","No"
"2018/03/23 8:17:38 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No you will buy more orbs to break the pity rate","45","Yes","No","No","No"
"2018/03/23 8:20:42 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","100","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 8:20:45 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Spent but was not able to break pity rate","10","Yes","No","$36 for 75 orbs","No"
"2018/03/23 8:21:05 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","100","No","No","No","No"
"2018/03/23 8:22:31 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","20","No","No","No","No"
"2018/03/23 8:22:56 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","30","No","No","No","No"
"2018/03/23 8:23:28 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 8:23:49 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","35","No","No","No","No"
"2018/03/23 8:24:41 PM EST","0","Every other day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","55","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 8:29:47 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 8:30:34 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","","No","No","No","No"
"2018/03/23 8:36:08 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","100","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 8:36:11 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","250","No","No","No","No"
"2018/03/23 8:41:15 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","30","Yes","No","No","Yes"
"2018/03/23 8:43:03 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","Yes","No","No","No"
"2018/03/23 8:44:49 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20","No","No","$36 for 75 orbs","No"
"2018/03/23 8:45:58 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","75","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 8:46:27 PM EST","100 - 500","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 8:47:29 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","Yes","No","$36 for 75 orbs","No"
"2018/03/23 8:49:23 PM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20","No","No","No","Yes"
"2018/03/23 8:49:38 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","100","No","No","No","No"
"2018/03/23 8:49:49 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 8:50:18 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time;Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","70","Yes","No","$36 for 75 orbs","No"
"2018/03/23 8:52:35 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","No","No","No","No"
"2018/03/23 8:53:27 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","No","No"
"2018/03/23 8:55:19 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","Yes","No","No","No"
"2018/03/23 8:55:21 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","2","Yes","Yes","$36 for 75 orbs","Yes"
"2018/03/23 8:56:40 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Don’t even complete quests most of the time","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","Yes","No","$36 for 75 orbs","No"
"2018/03/23 8:57:26 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","60","No","No","No","No"
"2018/03/23 8:58:34 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Don’t even complete quests most of the time","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","0","No","No","No","No"
"2018/03/23 9:00:19 PM EST","500 - 2000","Every day","Spend at the beginning of the month, or some periodic time","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","","Yes","Yes","$40 (USD) for 83 orbs","No"
"2018/03/23 9:01:21 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","60","Yes","No","$36 for 75 orbs","No"
"2018/03/23 9:05:48 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","75","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 9:05:53 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","75","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 9:06:04 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","75","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 9:06:07 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","75","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 9:11:34 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","100","Yes","No","No","No"
"2018/03/23 9:11:52 PM EST","< 100","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","Yes","No","$36 for 75 orbs","No"
"2018/03/23 9:17:04 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","35","Yes","No","$36 for 75 orbs","No"
"2018/03/23 9:17:47 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","","No","No","No","No"
"2018/03/23 9:17:53 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 9:18:00 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No you will buy more orbs to break the pity rate","300","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 9:19:53 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","","No","No","No","No"
"2018/03/23 9:19:56 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","100","Yes","No","No","No"
"2018/03/23 9:20:03 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","25","Yes","No","$36 for 75 orbs","No"
"2018/03/23 9:20:50 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 9:23:00 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","","No","No","No","No"
"2018/03/23 9:23:37 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","50","Yes","No","$36 for 75 orbs","No"
"2018/03/23 9:24:36 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Don’t even complete quests most of the time","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 9:25:36 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","20","Yes","No","$36 for 75 orbs","No"
"2018/03/23 9:26:19 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","200","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 9:37:51 PM EST","0","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","60","No","No","No","No"
"2018/03/23 9:37:58 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","150","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 9:44:10 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","70","No","No","No","No"
"2018/03/23 9:47:43 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","20","No","No","No","No"
"2018/03/23 9:49:39 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","No","No"
"2018/03/23 9:50:57 PM EST","< 100","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","30","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 9:52:17 PM EST","500 - 2000","Every day","Spend at the beginning of the month, or some periodic time;Impulsively during some banner you are trying for","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","25","Yes","No","$36 for 75 orbs","No"
"2018/03/23 9:52:25 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Spent but was not able to break pity rate","50","Yes","No","$36 for 75 orbs","No"
"2018/03/23 9:52:37 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","60","Yes","No","$36 for 75 orbs","No"
"2018/03/23 9:54:01 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 9:57:15 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","90","Yes","No","No","No"
"2018/03/23 9:58:24 PM EST","< 100","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","200","No","No","No","No"
"2018/03/23 9:59:10 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Don’t even complete quests most of the time","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","","","","",""
"2018/03/23 9:59:32 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","20","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 10:01:26 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20","No","No","No","No"
"2018/03/23 10:02:35 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","35","No","No","No","No"
